attr_feature_industry,attr_feature_regcap,attr_feature_n1,attr_feature_n2,attr_feature_n3,attr_feature_n4,attr_feature_c1,attr_feature_c2,attr_feature_c3,attr_feature_c4,attr_feature_sum_c1j,attr_feature_sum_c2j,attr_feature_sum_c3j,attr_feature_sum_c4j,attr_feature_rho1,attr_feature_rho2,attr_feature_rho3,attr_feature_rho4,attr_feature_beta1,attr_feature_beta2,attr_feature_beta3,attr_feature_beta4,attr_feature_1degree_num,attr_feature_2degree_num,attr_feature_MMWY_num,attr_feature_JDWY_num,attr_feature_JYYC_num,attr_feature_peroson_invest_num,attr_feature_fr_invest_num,attr_feature_SUPERVISOR_num,attr_feature_EXECUTIVE_num,attr_feature_DIRECTOR_num,attr_feature_LEGAL_num,attr_feature_L_E_num,attr_feature_L_S_num,attr_feature_L_D_num,attr_feature_D_S_num,attr_feature_D_E_num,attr_feature_S_E_num,attr_feature_L_E_D_num,attr_feature_L_E_S_num,attr_feature_L_D_S_num,attr_feature_E_D_S_num,attr_feature_L_E_D_S_num,company_name,node_id
信息传输、软件和信息技术服务业,14000000.0,3,13,40,416,0,0,6,0,3,14,43,450,0.0,0.0,0.007692308,0,1,1.076923077,1.075,1.081730769,3.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,猎融（苏州）金融信息服务有限公司,5ee1976344184a37b76b3f1e90e89e6b
租赁和商务服务业,30000000.0,4,8,19,26,0,0,0,0,4,9,24,37,0.0,0.0,0.0,0,1,1.125,1.263157895,1.4230769230000002,4.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,兴义市金鼎中小企业投资担保有限责任公司,cda97aab8fd44c878fd7515fa17bf6f0
金融业,50000000.0,3,21,52,258,0,10,26,0,3,29,58,310,0.0,0.047619048,0.019607843,0,1,1.380952381,1.115384615,1.201550388,3.0,21.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,深圳宝匙财富金融服务有限公司,c8fbf9fadf3d43e985391751a08f5d25
租赁和商务服务业,10000000.0,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,上海锋逸金融信息服务有限公司,79303c20c9504a66b54a90dd25ebc8bf
租赁和商务服务业,30000000.0,7,26,50,117,1,10,2,0,7,26,55,138,0.047619048,0.030769231,0.001632653,0,1,1.0,1.1,1.179487179,7.0,26.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,北京金源鸿基创业投资有限公司,64b1a39cb0a0417a8e9139914fef64bc
租赁和商务服务业,10000000.0,4,9,35,64,0,3,3,0,4,9,40,80,0.0,0.083333333,0.005042017,0,1,1.0,1.142857143,1.25,4.0,9.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,成都贝亨投资理财咨询服务有限公司,c62a8946f8224faa909bd24417259b61
租赁和商务服务业,50000000.0,2,3,3,5,0,0,0,0,2,3,3,5,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,山西天晨千亿投资有限公司,74e9fbdd9a5a45e58c91fc626c64c474
信息传输、软件和信息技术服务业,10178168.0,6,54,118,451,2,18,13,0,6,59,160,632,0.133333333,0.012578616,0.001883239,0,1,1.092592593,1.355932203,1.4013303769999998,6.0,54.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,广东莞贷互联网信息服务有限公司,eca97e8e4119475a874ed034073ab44a
批发和零售业,200000000.0,2,2,2,3,0,0,1,0,2,3,2,3,0.0,0.0,1.0,0,1,1.5,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,洛阳凤光微晶玉石材料有限公司,58c866bb70e44514a22d869123e27ce5
租赁和商务服务业,10000000.0,3,13,49,349,2,5,1,0,3,17,53,433,0.666666667,0.064102564,0.00085034,0,1,1.307692308,1.081632653,1.240687679,3.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,必普（上海）金融信息服务有限公司,558ee27bb7cf44c19b436d8a7398a4b0
